Library,Qty,Parts,Description,Value,Package,SORT
GMSN,3,"R1, R2, R3",Resistor,47k,R0805,2
GMSN,1,C5,Capacitor,1uF,C0805,3
GMSN,1,C4,Capacitor,330nF,C0805,3
GMSN,1,IC1,Positive Voltage Regulator,VOLTAGE_REG_POS05DT,TO252,4
GMSN,3,"C1, C2, C3","POLARIZED CAPACITOR, American symbol",100uF,SANYO-OSCON_D,
GMSN,1,U$1,,URA241XLD-20WR3,URA241XLD-20WR3,
GMSN,1,U$3,,EURO_POWER_16,POWER_SHROUDED,
GMSN,2,"U$10, U$11",,PCBMOUNT,PCB-2-MOUNTING,
GMSN,1,U$2,DC Power Socket,SOCKET_DC_POWER,DC-POWER,9
GMSN,3,"LED1, LED2, LED3",LED,,LED3MM,
